127.0.0.1 - - [17/Jun/2022:17:12:38 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:12:40 +0530] "GET /Helloservlet/servlet/com.hellos_ervelet.Helloservlet HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:12:40 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:18:13 +0530] "GET /Helloservlet/servlet/com.hellos_ervelet.Helloservlet HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:18:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:18:42 +0530] "GET /Helloservlet/New.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:18:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:30:14 +0530] "GET /Helloservlet/New.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:30:14 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Jun/2022:17:31:23 +0530] "GET /Helloservlet/New.html HTTP/1.1" 200 453
